OID,protein_name,panel,primary_literature_aligned_pathway_draft,secondary_literature_aligned_pathways_draft,all_literature_aligned_pathways_draft,current_rule_pathways,assignment_basis_summary,why_primary_pathway_draft,review_status,notes_for_reviewer,review_flag
OID01048,AIFM1,Olink ORGAN DAMAGE(v.3311),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","AIFM1 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01034,ALDH3A1,Olink ORGAN DAMAGE(v.3311),Cell death / cellular stress / proteostasis,Metabolic / lipid / atherosclerosis / mitochondrial-energy biology,Cell death / cellular stress / proteostasis; Metabolic / lipid / atherosclerosis / mitochondrial-energy biology,Metabolic_lipid_adipokine_energy; Oxidative_redox_hypoxia_stress,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","ALDH3A1 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Metabolic_lipid_adipokine_energy; Oxidative_redox_hypoxia_stress.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01164,APEX1,Olink METABOLISM(v.3403),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Oxidative_redox_hypoxia_stress,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","APEX1 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Oxidative_redox_hypoxia_stress.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01479,ARSA,Olink DEVELOPMENT(v.3511),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","ARSA is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01337,ARSB,Olink CELL REGULATION(v.3702),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","ARSB is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01370,ATG4A,Olink CELL REGULATION(v.3702),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","ATG4A is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID05468,ATP6V1D,Olink ONCOLOGY III(v.4001),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","ATP6V1D is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID05143,ATP6V1F,Olink NEURO EXPLORATORY(v.3911),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","ATP6V1F is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01197,BAG6,Olink METABOLISM(v.3403),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","BAG6 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01316,BCL2L11,Olink CELL REGULATION(v.3702),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","BCL2L11 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
