OID,protein_name,panel,current_pathway_rule_label,literature_aligned_pathway,allow_multiple_pathways,review_status
OID01048,AIFM1,ORGAN_DAMAGE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01034,ALDH3A1,ORGAN_DAMAGE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01164,APEX1,METABOLISM,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01479,ARSA,DEVELOPMENT,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01337,ARSB,CELL_REGULATION,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01370,ATG4A,CELL_REGULATION,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05468,ATP6V1D,ONCOLOGY_III,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05143,ATP6V1F,NEURO_EXPLORATORY,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01197,BAG6,METABOLISM,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01316,BCL2L11,CELL_REGULATION,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01051,BID,ORGAN_DAMAGE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01424,BLVRB,DEVELOPMENT,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00630,CASP-3,CARDIOVASCULAR_III,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00550,CASP-8,INFLAMMATION,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05437,CASP2,ONCOLOGY_III,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00709,CDKN1A,ONCOLOGY_II,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01028,CLSPN,ORGAN_DAMAGE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05129,CRADD,NEURO_EXPLORATORY,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00356,CTSC,NEUROLOGY,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00622,CTSD,CARDIOVASCULAR_III,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01400,CTSF,DEVELOPMENT,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01171,CTSH,METABOLISM,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00459,CTSL1,CARDIOVASCULAR_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01125,CTSO,METABOLISM,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00360,CTSS,NEUROLOGY,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00702,CTSV,ONCOLOGY_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00643,CTSZ,CARDIOVASCULAR_III,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01323,DDAH1,CELL_REGULATION,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01004,DFFA,IMMUNE_RESPONSE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01145,DIABLO,METABOLISM,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01342,DNAJB1,CELL_REGULATION,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00956,DPP10,IMMUNE_RESPONSE,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01266,DPP4,CARDIOMETABOLIC,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01047,DPP6,ORGAN_DAMAGE,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01178,DPP7,METABOLISM,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00972,EGLN1,IMMUNE_RESPONSE,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00691,FADD,ONCOLOGY_II,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00615,FAS,CARDIOVASCULAR_III,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00694,FASLG,ONCOLOGY_II,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01107,FKBP1B,ORGAN_DAMAGE,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01201,FKBP4,METABOLISM,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05220,FKBP5,NEURO_EXPLORATORY,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05146,FKBP7,NEURO_EXPLORATORY,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01065,FOXO1,ORGAN_DAMAGE,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05455,FOXO3,ONCOLOGY_III,Apoptosis_cell_death_DNA_damage,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01433,FUCA1,DEVELOPMENT,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00688,FURIN,ONCOLOGY_II,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00937,GLB1,IMMUNE_RESPONSE,Proteolysis_lysosome_autophagy_proteostasis,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID00419,GLO1,CARDIOVASCULAR_II,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID01137,GLRX,METABOLISM,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
OID05148,GSTP1,NEURO_EXPLORATORY,Oxidative_redox_hypoxia_stress,Cell death / cellular stress / proteostasis,yes,needs biologist review
